Brand,Model,Colour,Shoe Size (UK 8),Release Date,Purchase Year,Designer,Retail Price,Cost,Secondary Market Price (UK8 Stock X)
Adidas,NMD,Sun Glow,8,2017,2017,Pharrell,£199.00,£350.00,£301.00
Nike,Air Max 1 ,Varsity Red,8,2017,2017,,£120.00,£120.00,£290.00
Nike,Air Max 1 ,University Blue,8,2017,2017,,£120.00,£120.00,£356.00
Nike,Air Max 1 ,Kiss of Death,8,2021,2021,Clot,£120.00,£195.00,£108.00
Nike,Air Max 1 ,Atmos Elephant,8,2015,2019,Atmos,£120.00,£270.00,£964.00
Nike,Air Max 1 ,Multi,8,2018,2018,Sean Wotherspoon,£124.99,£300.00,£950.00
Nike,Air Max 1 ,Watermelon,8,2018,2019,,£100.00,£130.00,£338.00
Nike,Air Max 1 ,Master,8,2017,2019,,£89.99,£296.00,£715.00
Nike,Air Max 1 ,Orange,8,2021,2021,Patta,£145.99,£245.00,£235.00
Nike,Air Max 1 ,Aqua,8,2018,2017,,£99.95,£50.00,£289.00
Nike,Air Max 95,Neon,7.5,2021,2021,,£124.99,£124.99,£275.00
Nike,Air  Max 95,Pink Foam,7.5,2020,2020,,£124.99,£124.99,£257.00
Nike,Air  Max 95,Grape,7.5,2019,2020,,£124.99,£124.99,£173.00
Nike,Air  Max 95,Black Grape,7.5,2019,2019,,£124.99,£124.99,£180.00
Nike,Air  Max 95,Black History Month,7.5,2020,2020,,£124.99,£135.00,£172.00
Nike,Air  Max 95,Denham,7.5,2020,2020,Denham,£160.00,£180.00,£197.00
Nike,Air  Max 95,Solar Red,8,2019,2019,,£130.00,£130.00,£270.00
Nike,Air  Max 95,Size?,8,2017,2017,Size?,£130.00,£130.00,£90.00
Nike,Air  Max 95,Greedy,7.5,2015,2019,,£115.00,£230.00,£907.00
Nike,Air  Max 95,Pony Hair,8,2015,2017,,£120.00,£95.00,£478.00
Nike,Air  Max 96,Greedy 3.0,7.5,2021,2021,,£124.99,£124.99,£304.00
Nike,Air Max 97 ,Silver Bullet,8,2017,2017,,£130.00,£130.00,£275.00
Nike,Air Max 98,Gundam,8,2018,2018,,£144.00,£145.00,£499.00
Nike,Air Max 98,Tour Yellow,8,2018,2018,,£145.00,£145.00,£292.00
Nike,Air Max Tuned,Voltage Purple,7.5,2018,2018,,£145.00,£80.00,£308.00
Nike,Air Max 90,Infrared,8,2015,2015,,£115.00,£60.00,£250.00
Nike,Air Max 90,Laser Blue,8,2010,2017,,£95.00,£50.00,£144.00
Nike,Air Max 90,Be True,8,2019,2019,,£110.00,£75.00,£140.00
Nike,Air Max 90,Volt,8,2020,2020,,£115.00,£115.00,£74.00
Nike,Air Max 180,Pink ,8,2018,2019,Comme des Garcons,£130.00,£130.00,£200.00
Nike,Air Max 180,Ultrmarine,8,2018,2018,,£104.95,£104.95,£512.00
Nike,Air Force 1,White,7.5,2020,2020,,£89.99,£44.99,£89.99
Nike,Air Force 1,White,7.5,2020,2020,,£89.99,£44.99,£89.99
Nike,Air Force 1,White,7.5,2019,2019,,£89.99,£44.99,£89.99
Nike,Air Force 1,White,7.5,2019,2019,,£89.99,£44.99,£89.99
Nike,Air Force 1,White,7.5,2019,2019,,£89.99,£44.99,£89.99
Nike,Air Force 1,Black ,7.5,2019,2019,,£89.99,£44.99,£110.00
Nike,Air Force 1,Black ,7.5,2020,2020,,£89.99,£44.99,£110.00
Nike,Air Force 1,Multi,7.5,2021,2021,Undefeated,£89.99,£125.00,£118.00
